Date,Volume
2022-11-01,2
2022-12-01,13
2023-01-01,88
2023-02-01,91
2023-03-01,69
2023-04-01,59
2023-05-01,46
2023-06-01,58
2023-07-01,60
2023-08-01,53
2023-09-01,47
2023-10-01,44
2023-11-01,37
2023-12-01,38
2024-01-01,45
2024-02-01,36
2024-03-01,45
2024-04-01,51
2024-05-01,43
2024-06-01,75
2024-07-01,57
2024-08-01,60
2024-09-01,74
2024-10-01,68
2024-11-01,81
2024-12-01,63
2025-01-01,88
2025-02-01,96
2025-03-01,81
2025-04-01,60
